label,id
CERA 160 Compensation for damages,82
CERA 181 Purchase/Sell/Name Change of Pipeline Facilities,83
CERA 183 Pipeline Facilities Certificate,84
CERA 190 Vary or transfer pipeline facilities certificate,85
CERA 201 Detailed Route,86
CERA 211 Route Deviations,87
CERA 213 Leave to open pipeline,88
CERA 214 Pipeline Facilities Order,89
CERA 239 Transmission Order,90
CERA 241 Abandonment of Pipeline Facilities,91
CERA 248 International Power Line,92
CERA 277 Abandonment of international power line,93
CERA 280 Vary or transfer international power line certificate,94
CERA 288 Vary or transfer international power line permit,95
CERA 298 Offshore power line or offshore renewable energy project authorization,96
CERA 300 Vary or transfer offshore power line or offshore renewable energy project authorization,97
CERA 324 Right of Entry,98
CERA 327 Compensation of lands,99
CERA 344 Long Term Gas Export,100
CERA 344 Long Term Oil Export,101
CERA 344 Short-term Export,102
CERA 348 Vary export licence,103
CERA 349 Transfer export licence,104
CERA 356 Electricity Export,105
